customer_id,churned,churn_probability,churn_risk_category,Unnamed: 3_encoded,Unnamed: 5_encoded,Unnamed: 6_encoded,Unnamed: 8_encoded
CUST_000000,0,0.0070325362121934345,Low Risk,3,4,6,3
CUST_000001,1,0.2690479956961381,Low Risk,0,3,3,1
CUST_000002,0,0.22276806153448606,Low Risk,0,0,4,0
CUST_000003,0,0.2362979782466718,Low Risk,0,1,2,2
CUST_000004,0,0.26618682891419126,Low Risk,1,0,2,2
CUST_000005,0,0.22293934520301745,Low Risk,0,0,2,1
CUST_000006,0,0.23962185776186423,Low Risk,1,0,1,1
CUST_000007,1,0.26112703137026966,Low Risk,1,1,1,2
CUST_000008,0,0.26527494198370566,Low Risk,1,2,2,0
CUST_000009,0,0.2259187200198576,Low Risk,1,3,5,1
CUST_000010,0,0.2249979630689051,Low Risk,0,1,2,1
CUST_000011,1,0.2805715453158248,Low Risk,0,3,0,2
CUST_000012,1,0.23962185776186423,Low Risk,1,0,1,1
CUST_000013,0,0.24776013765479887,Low Risk,1,1,2,1
CUST_000014,0,0.2314095843430768,Low Risk,1,0,0,2
CUST_000015,0,0.22168917951762956,Low Risk,1,0,4,1
CUST_000016,0,0.25458485555067956,Low Risk,0,1,0,0
CUST_000017,0,0.22293934520301745,Low Risk,0,0,2,1
CUST_000018,0,0.2786123364802222,Low Risk,1,1,5,2
CUST_000019,0,0.24776013765479887,Low Risk,1,1,2,1
CUST_000020,0,0.22168917951762956,Low Risk,1,0,4,1
CUST_000021,0,0.23962109039990326,Low Risk,1,3,2,1
CUST_000022,0,0.24530475543926508,Low Risk,1,3,2,2
CUST_000023,0,0.2246062820544332,Low Risk,0,1,3,1
CUST_000024,0,0.2357828319909077,Low Risk,1,1,0,2
CUST_000025,1,0.2687901462145875,Low Risk,1,0,2,1
CUST_000026,0,0.2596071609969985,Low Risk,0,1,5,1
CUST_000027,0,0.26585930278946374,Low Risk,1,0,1,2
CUST_000028,0,0.258077833386518,Low Risk,0,3,2,1
CUST_000029,0,0.2639737266914569,Low Risk,0,3,5,0
CUST_000030,0,0.24200230962872887,Low Risk,1,1,1,1
CUST_000031,0,0.22786747248274217,Low Risk,0,0,2,0
CUST_000032,0,0.2384335290723222,Low Risk,1,1,2,2
CUST_000033,1,0.26619993906825906,Low Risk,0,2,1,2
CUST_000034,1,0.26585930278946374,Low Risk,1,0,1,2
CUST_000035,1,0.22168917951762956,Low Risk,1,0,4,1
CUST_000036,0,0.24145208982630934,Low Risk,1,1,5,1
CUST_000037,0,0.2314095843430768,Low Risk,1,0,0,2
CUST_000038,0,0.22872685915146376,Low Risk,1,2,2,2
CUST_000039,0,0.2362979782466718,Low Risk,0,1,2,2
CUST_000040,0,0.2922401569690993,Low Risk,0,3,3,2
CUST_000041,0,0.17907909990626256,Low Risk,1,0,4,0
CUST_000042,0,0.2384335290723222,Low Risk,1,1,2,2
CUST_000043,1,0.17330061013078513,Low Risk,0,1,4,0
CUST_000044,0,0.24001583744688904,Low Risk,1,0,3,1
CUST_000045,0,0.28683732587910377,Low Risk,1,3,5,2
CUST_000046,0,0.22168917951762956,Low Risk,1,0,4,1
CUST_000047,0,0.2550274863016322,Low Risk,0,3,1,1
CUST_000048,0,0.2273535131940311,Low Risk,1,1,3,1
